date,open,high,low,close,volume
2022-05-31,1.8324,1.8504,1.8235,1.85,1304449
2022-06-01,1.8452,1.8493,1.8378,1.8465,1326932
2022-06-02,1.8402,1.8673,1.8296,1.8633,758506
2022-06-03,1.8665,1.868,1.8415,1.8442,1318804
2022-06-06,1.8434,1.8544,1.8415,1.8458,1601280
2022-06-07,1.8431,1.8462,1.8288,1.8317,1373704
2022-06-08,1.8431,1.8575,1.8407,1.8511,1860364
2022-06-09,1.8398,1.8472,1.8148,1.8285,1394545
2022-06-10,1.8377,1.8406,1.8361,1.8382,1748821
2022-06-13,1.8395,1.8452,1.768,1.7785,1843126
2022-06-14,1.7763,1.7898,1.7601,1.7853,1554559
2022-06-15,1.7828,1.7956,1.7769,1.7895,1243174
2022-06-16,1.7869,1.7923,1.7845,1.7888,1811261
2022-06-17,1.7874,1.7944,1.7706,1.7737,1613190
2022-06-20,1.7688,1.7951,1.7592,1.7889,1624030
2022-06-21,1.7847,1.8441,1.772,1.835,1948813
2022-06-22,1.8347,1.8548,1.8264,1.8527,2233725
2022-06-23,1.8533,1.8623,1.8497,1.8569,1567165
2022-06-24,1.8595,1.8735,1.8276,1.8375,1977955
2022-06-27,1.832,1.8329,1.8175,1.818,1828257
2022-06-28,1.8263,1.8275,1.7769,1.7799,1196368
2022-06-29,1.7843,1.7849,1.7311,1.74,1111476
2022-06-30,1.7487,1.7506,1.7295,1.7399,1426277
2022-07-01,1.7259,1.7262,1.7172,1.7188,1708861
2022-07-04,1.7246,1.7743,1.717,1.7724,2272007
2022-07-05,1.7725,1.7743,1.7711,1.7741,1456691
2022-07-06,1.7712,1.7714,1.7521,1.7559,1286146
2022-07-07,1.7546,1.768,1.736,1.7574,1827452
2022-07-08,1.7465,1.7815,1.7439,1.7791,1077746
2022-07-11,1.7732,1.7856,1.7459,1.7525,1881466
2022-07-12,1.7466,1.7692,1.7431,1.7655,1133361
2022-07-13,1.7642,1.7857,1.7592,1.7831,1633278
2022-07-14,1.7893,1.797,1.7752,1.7796,1677930
2022-07-15,1.7813,1.7902,1.7665,1.773,1444529
2022-07-18,1.7786,1.7836,1.7547,1.7647,1033011
2022-07-19,1.7579,1.7863,1.7433,1.7739,2008936
2022-07-20,1.7734,1.7829,1.7705,1.779,1488709
2022-07-21,1.7796,1.8101,1.777,1.809,1482916
2022-07-22,1.7998,1.8178,1.7944,1.8081,1551259
2022-07-25,1.8082,1.8107,1.7993,1.8032,1266508
2022-07-26,1.7979,1.8061,1.7856,1.8032,1808746
2022-07-27,1.8046,1.8245,1.7925,1.8173,1804311
2022-07-28,1.8104,1.8149,1.7602,1.7604,1655297
2022-07-29,1.7614,1.7667,1.7379,1.7422,1078001
2022-08-01,1.7351,1.7419,1.7039,1.7111,1215180
2022-08-02,1.7136,1.7826,1.7077,1.7813,1710092
2022-08-03,1.7819,1.8002,1.7659,1.7666,1844781
2022-08-04,1.7664,1.7789,1.7434,1.7477,2043734
2022-08-05,1.7448,1.7678,1.738,1.7633,1686542
2022-08-08,1.7595,1.7612,1.7175,1.718,1686201
2022-08-09,1.7111,1.7183,1.707,1.7157,1667937
2022-08-10,1.72,1.7511,1.7195,1.7479,1001711
2022-08-11,1.749,1.7622,1.74,1.7602,1175683
2022-08-12,1.76,1.7927,1.7598,1.7878,1508926
2022-08-15,1.7851,1.8109,1.7818,1.8102,1369651
2022-08-16,1.8114,1.8149,1.7939,1.803,1231617
2022-08-17,1.8006,1.811,1.7942,1.7956,1809553
2022-08-18,1.797,1.8034,1.7564,1.757,1819644
2022-08-19,1.7644,1.7806,1.7482,1.7507,1366349
2022-08-22,1.759,1.8011,1.756,1.7973,1415464
2022-08-23,1.7924,1.7996,1.7509,1.7562,1489594
2022-08-24,1.7644,1.7777,1.7575,1.7706,1435803
2022-08-25,1.7742,1.7822,1.7702,1.7729,1549935
2022-08-26,1.7744,1.8051,1.7699,1.7875,1340700
2022-08-29,1.7846,1.7891,1.7595,1.7679,1926151
2022-08-30,1.7635,1.7668,1.7445,1.7484,1689879
2022-08-31,1.7404,1.7565,1.7279,1.7457,1316163
2022-09-01,1.7472,1.7495,1.7325,1.737,2103061
2022-09-02,1.7329,1.7424,1.7232,1.7283,1490061
2022-09-05,1.7256,1.7736,1.7255,1.772,1856517
2022-09-06,1.7692,1.8399,1.7618,1.8363,1704567
2022-09-07,1.8395,1.8932,1.8352,1.8905,1832611
2022-09-08,1.8933,1.9248,1.8845,1.9166,1914647
2022-09-09,1.9157,1.9355,1.9064,1.9343,1254919
2022-09-12,1.932,1.9429,1.9222,1.9427,1557329
2022-09-13,1.9348,1.9419,1.9298,1.9361,2148976
2022-09-14,1.9374,1.9393,1.9163,1.9285,1471411
2022-09-15,1.932,1.9415,1.9285,1.9401,1558226
2022-09-16,1.9341,1.9663,1.9287,1.9652,1858513
2022-09-19,1.962,1.9649,1.9051,1.9171,1480274
2022-09-20,1.9279,1.9391,1.8951,1.9119,1632004
2022-09-21,1.906,1.9114,1.8898,1.8917,1330776
2022-09-22,1.8966,1.9016,1.8595,1.8602,2053991
2022-09-23,1.8517,1.8568,1.8216,1.822,1573001
2022-09-26,1.8239,1.833,1.8068,1.8173,1475354
2022-09-27,1.8192,1.853,1.815,1.8497,1634312
2022-09-28,1.857,1.8764,1.8518,1.8749,1473079
2022-09-29,1.8711,1.9253,1.8708,1.9115,1070767
2022-09-30,1.9076,1.9177,1.9027,1.9113,1366144
2022-10-03,1.9087,1.9272,1.8429,1.8546,1728124
2022-10-04,1.857,1.8861,1.8566,1.8789,1498919
2022-10-05,1.8873,1.894,1.8529,1.8545,1508065
2022-10-06,1.8432,1.8508,1.8382,1.849,1199513
2022-10-07,1.8589,1.8637,1.8469,1.8511,1671774
2022-10-10,1.8562,1.8956,1.8514,1.8952,1709466
2022-10-11,1.9003,1.9163,1.8923,1.9115,1339429
2022-10-12,1.9126,1.9666,1.9073,1.9504,2020789
2022-10-13,1.9466,1.9562,1.9441,1.9524,1627249
2022-10-14,1.949,1.9645,1.9323,1.9643,2018262
2022-10-17,1.9645,1.9783,1.9597,1.9774,1193162
2022-10-18,1.9675,1.9706,1.9548,1.9599,1355044
2022-10-19,1.9527,2.0105,1.9509,1.9988,1814129
2022-10-20,1.996,2.0553,1.9957,2.0465,1448211
2022-10-21,2.0505,2.0907,2.0384,2.0776,1914027
2022-10-24,2.0801,2.0842,2.0584,2.0606,1334908
2022-10-25,2.0604,2.0701,2.0352,2.0397,1388815
2022-10-26,2.0222,2.0551,2.0082,2.0457,1391267
2022-10-27,2.0377,2.0472,1.9997,2.0035,1603951
2022-10-28,2.0063,2.007,1.9946,2.0049,1798880
2022-10-31,1.9956,1.999,1.9689,1.9808,1755066
2022-11-01,1.9787,1.9813,1.952,1.9684,1614580
2022-11-02,1.9745,1.9891,1.9724,1.9872,1441095
2022-11-03,1.987,1.9928,1.9844,1.9848,1719792
2022-11-04,1.9853,2.0012,1.9756,1.9829,1603946
2022-11-07,1.9657,2.0118,1.9646,1.9951,1832454
2022-11-08,1.9988,2.0072,1.9627,1.9676,2074209
2022-11-09,1.9689,1.9757,1.9593,1.9632,1545125
2022-11-10,1.9774,1.9887,1.9758,1.9882,1815196
2022-11-11,1.9953,2.0336,1.9862,2.0284,1990029
2022-11-14,2.0302,2.0364,1.9948,1.9953,1598628
2022-11-15,1.9978,2.0204,1.9942,2.0075,1426753
2022-11-16,2.0146,2.0538,2.0098,2.0438,1710351
2022-11-17,2.0522,2.0534,2.042,2.043,1448078
2022-11-18,2.0363,2.0485,2.0233,2.0368,1245911
2022-11-21,2.0236,2.0288,1.983,1.9936,1992604
2022-11-22,1.9894,2.0378,1.9816,2.0196,1402550
2022-11-23,2.0335,2.0448,1.9443,1.9572,1806771
2022-11-24,1.9653,2.0419,1.9607,2.0373,1756024
2022-11-25,2.039,2.0631,2.0385,2.0622,1273810
2022-11-28,2.0517,2.0525,2.035,2.0431,1168923
2022-11-29,2.0516,2.0647,2.0387,2.0572,1203111
2022-11-30,2.0511,2.0819,2.0466,2.08,1209496
2022-12-01,2.0717,2.08,2.0691,2.075,1022101
2022-12-02,2.0749,2.0932,2.073,2.0886,1909242
2022-12-05,2.0859,2.0908,2.0813,2.0898,1514658
2022-12-06,2.0854,2.0922,2.0737,2.0867,2024873
2022-12-07,2.0823,2.0883,2.0362,2.0435,1411515
2022-12-08,2.0393,2.0798,2.0325,2.0775,2143544
2022-12-09,2.0794,2.0847,2.039,2.0424,1444413
2022-12-12,2.0427,2.0439,2.0308,2.0387,2163156
2022-12-13,2.0303,2.031,1.9926,2.0133,1258897
2022-12-14,2.0235,2.0778,2.0189,2.0732,1988518
2022-12-15,2.072,2.0768,2.0518,2.0602,1305216
2022-12-16,2.0604,2.0667,2.0207,2.0226,1033231
2022-12-19,2.0276,2.0539,2.0246,2.0377,1868300
2022-12-20,2.0479,2.0513,2.0051,2.0107,1483269
2022-12-21,2.0112,2.0324,2.0038,2.028,1550808
2022-12-22,2.0274,2.0347,1.9785,1.9844,1870827
2022-12-23,1.988,2.0294,1.9855,2.0205,1863929
2022-12-26,2.0346,2.0421,2.033,2.0389,1407265
2022-12-27,2.038,2.0479,2.0302,2.0421,1264203
2022-12-28,2.0308,2.035,1.9815,1.9903,854132
2022-12-29,2.0052,2.0169,1.9984,2.0169,1524548
2022-12-30,2.0224,2.0248,2.0173,2.0194,1596509
2023-01-02,2.0254,2.0268,1.9991,2.0051,1660952
2023-01-03,2.0053,2.0054,1.9697,1.9783,1642409
2023-01-04,1.9831,1.9942,1.978,1.9824,1503105
2023-01-05,1.976,1.9785,1.9324,1.9372,1443908
2023-01-06,1.9402,1.9424,1.9365,1.9419,1519342
2023-01-09,1.9364,1.9375,1.8699,1.879,1679978
2023-01-10,1.8859,1.9309,1.8747,1.9292,1544600
2023-01-11,1.9257,1.928,1.9129,1.9159,1551124
2023-01-12,1.9159,1.9239,1.9068,1.9206,1784866
2023-01-13,1.9058,1.913,1.8532,1.8634,1432570
2023-01-16,1.8533,1.8573,1.8153,1.8208,1327046
2023-01-17,1.8178,1.8207,1.7368,1.7472,1555007
2023-01-18,1.7502,1.751,1.743,1.7498,1858971
2023-01-19,1.7496,1.7562,1.7424,1.7455,1234559
2023-01-20,1.7544,1.7641,1.7386,1.7499,1941351
2023-01-23,1.7464,1.7536,1.7367,1.7409,2047802
2023-01-24,1.7384,1.7712,1.7341,1.756,1722628
2023-01-25,1.7629,1.7819,1.7627,1.7708,1273974
2023-01-26,1.7672,1.7937,1.7662,1.7794,1390403
2023-01-27,1.7722,1.784,1.7637,1.7771,1302931
2023-01-30,1.78,1.7884,1.747,1.752,1798814
2023-01-31,1.7445,1.755,1.7225,1.7247,1424750
2023-02-01,1.7276,1.7653,1.7127,1.762,1306944
2023-02-02,1.7623,1.7888,1.7516,1.7869,1652350
2023-02-03,1.7926,1.8097,1.7866,1.8071,1186557
2023-02-06,1.8182,1.8263,1.7631,1.7646,1416956
2023-02-07,1.7689,1.7832,1.7648,1.7771,1449863
2023-02-08,1.7758,1.7948,1.7723,1.7833,1720463
2023-02-09,1.7896,1.8087,1.7803,1.8074,1619906
2023-02-10,1.8045,1.8087,1.778,1.7869,1506381
2023-02-13,1.796,1.806,1.7773,1.8043,1669652
2023-02-14,1.8084,1.8111,1.7515,1.7606,1701954
2023-02-15,1.7542,1.7556,1.7446,1.7505,1325842
2023-02-16,1.7593,1.7776,1.7509,1.7748,1633380
2023-02-17,1.7716,1.8043,1.7715,1.8034,1264530
2023-02-20,1.8027,1.8233,1.7963,1.8202,1368762
2023-02-21,1.8182,1.8506,1.8153,1.8379,1567405
2023-02-22,1.8301,1.8688,1.8189,1.8557,1878775
2023-02-23,1.8699,1.8742,1.8531,1.8545,1962632
2023-02-24,1.8659,1.9314,1.8583,1.9221,1677758
2023-02-27,1.9189,1.9476,1.9189,1.9413,1448944
2023-02-28,1.9454,1.9528,1.9314,1.9321,1943259
2023-03-01,1.931,1.9365,1.8838,1.8979,1475195
2023-03-02,1.9066,1.9114,1.8953,1.9031,2056227
2023-03-03,1.9064,1.9431,1.8991,1.9413,1388337
2023-03-06,1.9523,1.9964,1.9485,1.9842,1164114
2023-03-07,1.9736,1.9804,1.9725,1.9778,1360189
2023-03-08,1.9809,1.9851,1.9244,1.9335,638321
2023-03-09,1.9438,1.9567,1.9394,1.943,1319336
2023-03-10,1.9371,1.9531,1.9312,1.9508,1868079
2023-03-13,1.9496,1.9564,1.9402,1.9466,1432056
2023-03-14,1.952,1.969,1.9403,1.9627,1418662
2023-03-15,1.9583,1.9773,1.9508,1.9577,1721053
2023-03-16,1.9581,1.9621,1.9376,1.9498,1341284
2023-03-17,1.9425,1.9679,1.932,1.9656,1639928
2023-03-20,1.9561,1.9652,1.9493,1.9551,1256924
2023-03-21,1.9618,1.9757,1.9613,1.9677,1628644
2023-03-22,1.9687,1.9921,1.9622,1.9892,1525843
2023-03-23,1.9718,1.9752,1.9331,1.9401,791120
2023-03-24,1.9437,1.9597,1.9141,1.9142,1281599
2023-03-27,1.9221,1.9271,1.9107,1.9169,1355176
2023-03-28,1.9176,1.93,1.8877,1.8901,1424293
2023-03-29,1.8813,1.8879,1.8725,1.873,1445856
2023-03-30,1.8747,1.9704,1.8715,1.9645,1844533
2023-03-31,1.956,1.9666,1.9508,1.9594,2061989
2023-04-03,1.9567,1.9986,1.9562,1.9884,1755832
2023-04-04,1.9834,2.0029,1.9752,1.9978,1399567
2023-04-05,1.9921,1.9955,1.9637,1.98,1179740
2023-04-06,1.9884,1.9898,1.9848,1.9891,1181281
2023-04-07,1.988,2.0087,1.9786,2.0008,2276869
2023-04-10,2.0027,2.0217,1.9999,2.0202,1601545
2023-04-11,2.0212,2.0318,2.0041,2.0122,1841963
2023-04-12,2.0115,2.0687,2.0066,2.0512,1889098
2023-04-13,2.0451,2.0492,2.0375,2.0444,1664020
2023-04-14,2.0421,2.0453,2.0273,2.0348,1984612
2023-04-17,2.0423,2.0547,2.0243,2.0324,1370513
2023-04-18,2.0322,2.0519,2.0296,2.0445,1146288
2023-04-19,2.0417,2.0797,2.0394,2.0781,1422328
2023-04-20,2.0751,2.1007,2.0639,2.0934,1537913
2023-04-21,2.0871,2.1536,2.0828,2.1478,1553874
2023-04-24,2.1509,2.1677,2.1414,2.1623,1622945
2023-04-25,2.1666,2.1831,2.1576,2.1588,1207641
2023-04-26,2.158,2.2129,2.1507,2.1938,1339401
2023-04-27,2.196,2.1977,2.1868,2.193,1369354
2023-04-28,2.1913,2.2147,2.1859,2.2082,1219368
2023-05-01,2.2046,2.2478,2.2014,2.2406,2051455
2023-05-02,2.2382,2.2384,2.228,2.2307,1739982
2023-05-03,2.2237,2.2331,2.1615,2.1697,2013184
2023-05-04,2.1686,2.1692,2.1552,2.1652,1221794
2023-05-05,2.1716,2.1837,2.1699,2.1793,1800313
2023-05-08,2.1838,2.1895,2.0799,2.0952,1653360
2023-05-09,2.0944,2.1457,2.0809,2.1375,1894474
2023-05-10,2.1423,2.1956,2.1285,2.195,1426181
2023-05-11,2.2093,2.2108,2.1803,2.1813,1665445
2023-05-12,2.1924,2.1993,2.1907,2.1939,1277258
2023-05-15,2.1898,2.1901,2.1428,2.1465,1292273
2023-05-16,2.1459,2.1588,2.0943,2.1007,1524731
2023-05-17,2.0987,2.105,2.0502,2.0528,1902135
2023-05-18,2.0535,2.0549,1.9904,1.9958,1563958
2023-05-19,1.9939,2.0002,1.9629,1.9714,1506393
2023-05-22,1.971,2.033,1.9591,2.0272,959058
2023-05-23,2.0289,2.033,1.9681,1.9806,1768511
2023-05-24,1.9815,1.9943,1.9601,1.9672,1419440
2023-05-25,1.9545,1.9601,1.9267,1.9283,1203846
2023-05-26,1.9288,1.9305,1.92,1.925,1550596
2023-05-29,1.9187,1.9423,1.9179,1.9314,1505654
2023-05-30,1.9328,1.9607,1.9305,1.9533,1316268
2023-05-31,1.9466,1.958,1.9463,1.9571,1437564
2023-06-01,1.9461,1.9504,1.9416,1.9423,1547956
2023-06-02,1.9497,1.9565,1.9122,1.9197,1628158
2023-06-05,1.9299,1.9391,1.9041,1.9112,1800174
2023-06-06,1.9192,1.9211,1.8977,1.8999,1578096
2023-06-07,1.9045,1.9105,1.8873,1.9006,1891302
2023-06-08,1.9065,1.9151,1.8509,1.859,1376755
2023-06-09,1.8578,1.8601,1.8213,1.827,1893092
2023-06-12,1.8239,1.8636,1.8116,1.8621,1258238
2023-06-13,1.8711,1.9075,1.8667,1.8982,1492078
2023-06-14,1.8936,1.9047,1.89,1.9015,1495664
2023-06-15,1.9016,1.9205,1.9007,1.9171,1473491
2023-06-16,1.9157,1.9279,1.9007,1.905,1411355
2023-06-19,1.9031,1.932,1.9003,1.923,1467809
2023-06-20,1.9139,1.9355,1.9048,1.9268,1542882
2023-06-21,1.9397,1.9952,1.9358,1.9901,959682
2023-06-22,1.9854,1.9903,1.9679,1.9692,1358372
2023-06-23,1.9737,1.9821,1.9132,1.9151,2122224
2023-06-26,1.9005,1.9027,1.8661,1.8743,2087504
2023-06-27,1.8771,1.8806,1.8417,1.8425,2293303
2023-06-28,1.8439,1.8473,1.7945,1.8023,1529394
2023-06-29,1.8002,1.8105,1.7977,1.8085,1686471
2023-06-30,1.8106,1.8108,1.7924,1.8005,1484581
2023-07-03,1.8073,1.8139,1.7547,1.7593,1321301
2023-07-04,1.748,1.8064,1.7406,1.784,1566971
2023-07-05,1.7856,1.7893,1.7795,1.7841,1666681
2023-07-06,1.783,1.7865,1.7817,1.7854,1840131
2023-07-07,1.7697,1.7901,1.7683,1.7854,1494387
2023-07-10,1.7915,1.7983,1.7755,1.781,1622115
2023-07-11,1.7737,1.7781,1.7418,1.7478,1785937
2023-07-12,1.7516,1.7687,1.7471,1.7651,1629576
2023-07-13,1.7691,1.7988,1.7641,1.7903,1605434
2023-07-14,1.7902,1.8253,1.789,1.8189,1276529
2023-07-17,1.8181,1.8239,1.7975,1.7997,931915
2023-07-18,1.7997,1.8114,1.795,1.8055,1781271
2023-07-19,1.8014,1.8069,1.7513,1.7579,1748842
2023-07-20,1.7565,1.7706,1.747,1.7514,1128222
2023-07-21,1.7529,1.764,1.7437,1.7544,594146
2023-07-24,1.7639,1.7776,1.7624,1.7688,1352509
2023-07-25,1.7636,1.7884,1.7601,1.785,1818062
2023-07-26,1.7871,1.8648,1.7869,1.861,969277
2023-07-27,1.8588,1.8627,1.8383,1.8394,1253274
2023-07-28,1.8394,1.8704,1.837,1.8703,1546557
2023-07-31,1.8655,1.8935,1.8632,1.8885,1096238
2023-08-01,1.8858,1.8924,1.8607,1.8627,1558076
2023-08-02,1.8619,1.8886,1.8611,1.8857,1579608
2023-08-03,1.8719,1.8729,1.845,1.8555,1777864
2023-08-04,1.8624,1.89,1.8609,1.8894,1314704
2023-08-07,1.8929,1.902,1.8828,1.8839,1364943
2023-08-08,1.8873,1.8982,1.8699,1.8873,1334838
2023-08-09,1.8844,1.8855,1.8466,1.8499,1935740
2023-08-10,1.8516,1.8653,1.8431,1.8607,1811733
2023-08-11,1.8644,1.8724,1.8507,1.8623,1745366
2023-08-14,1.8572,1.8742,1.8489,1.8677,1143176
2023-08-15,1.8627,1.9134,1.8602,1.9086,1680956
2023-08-16,1.9076,1.908,1.8845,1.8921,1722247
2023-08-17,1.8908,1.8983,1.857,1.8762,1442691
2023-08-18,1.8806,1.9488,1.8787,1.9487,1506739
2023-08-21,1.9418,1.9665,1.9362,1.9577,1715455
2023-08-22,1.9578,1.976,1.9532,1.9707,1393787
2023-08-23,1.9713,1.9835,1.9447,1.9544,1059742
2023-08-24,1.9547,1.9608,1.9527,1.9595,1433039
2023-08-25,1.9501,2.0003,1.9493,1.9937,1007043
2023-08-28,2.0036,2.0038,1.9965,1.9983,1121950
2023-08-29,1.9961,1.9986,1.9675,1.9776,1667307
2023-08-30,1.9791,1.983,1.9372,1.9461,1974162
2023-08-31,1.9413,1.9511,1.91,1.9118,1639907
2023-09-01,1.9113,1.9421,1.9102,1.9397,1249457
2023-09-04,1.9303,1.9923,1.9147,1.9908,1502039
2023-09-05,1.9887,1.9901,1.9721,1.983,836441
2023-09-06,1.9745,2.0221,1.9711,2.0199,1676565
2023-09-07,2.0227,2.0391,1.9635,1.9743,1556911
2023-09-08,1.9768,1.9769,1.9521,1.9571,1646361
2023-09-11,1.956,2.0147,1.9459,2.009,1213069
2023-09-12,2.0179,2.0351,2.0154,2.0322,1499787
2023-09-13,2.0359,2.0431,1.9941,1.9977,1358987
2023-09-14,1.9951,2.0036,1.9783,2.003,1425892
2023-09-15,1.9992,2.0051,1.987,1.9884,1305188
2023-09-18,1.9969,2.0413,1.982,2.0365,1802254
2023-09-19,2.0413,2.0574,2.0131,2.0203,1136648
2023-09-20,2.0204,2.0504,2.0171,2.0426,1705895
2023-09-21,2.0461,2.0656,2.0333,2.0494,1985163
2023-09-22,2.0439,2.058,2.0423,2.0471,1776495
2023-09-25,2.0563,2.0683,2.0523,2.0524,1124281
2023-09-26,2.0579,2.0726,2.0364,2.0691,1559684
2023-09-27,2.0716,2.0955,2.0627,2.0852,1704064
2023-09-28,2.074,2.1138,2.0699,2.1111,1475543
2023-09-29,2.1081,2.1248,2.1078,2.1191,1173826
2023-10-02,2.1234,2.1331,2.0832,2.0888,1638777
2023-10-03,2.0845,2.0945,2.0226,2.0306,1360678
